ID,Tipo,Resumen,Historia
0,-1,El Heraldo y la Oscuridad,"Despiertas en un mundo envuelto en sombras. Una marca arde en tu mano, pero no recuerdas su origen. Voces antiguas susurran tu nombre, y un peso invisible te acompana. Eres el Heraldo, destinado a enfrentar la Oscuridad. Podras descubrir la verdad antes de que todo se repita una vez mas?"
1,0,Un susurro en la penumbra,"No eres el primero, ni seras el ultimo. La marca en tu mano arde."
2,0,Un mural polvoriento,"Ves figuras luchando contra una sombra. Uno lleva tu simbolo."
3,0,Un eco de tu nombre,"Alguien susurra tu nombre, pero no recuerdas quien eres realmente."
4,0,Un reflejo distorsionado,"En el agua ves un rostro que no reconoces."
5,0,Un diario olvidado,"'El Heraldo debe recordar', dice la ultima pagina."
6,0,Un simbolo grabado,"Encuentras un simbolo antiguo, igual al de tu mano."
7,0,Un viento frio,"El viento trae voces de los que cayeron antes que tu."
8,0,Unos pasos lejanos,"Sientes que alguien te sigue, pero nunca lo ves."
9,0,Un eco de batalla,"El suelo vibra con recuerdos de antiguas guerras."
10,0,Un suspiro en la oscuridad,"La Oscuridad observa, paciente."
42,0,Un reloj sin manecillas,"El tiempo parece no avanzar en este lugar. Sientes que cada segundo es un eco de algo que ya viviste."
43,0,Unos guantes viejos,"Al ponertelos, sientes una fuerza familiar, como si hubieran sido tuyos en otra vida."
44,0,Unas piedras alineadas,"Forman un circulo antiguo. Al pisarlas, escuchas un susurro: 'El ciclo continua'."
45,0,Unas runas borrosas,"No logras descifrarlas, pero te resultan inquietantemente familiares."
11,1,El origen de la Oscuridad,"Hace siglos, un pacto fue roto. La Oscuridad nacio del orgullo humano. Los sabios sellaron su avance, pero el precio fue la memoria de su pueblo. Desde entonces, los Heraldos han luchado en la penumbra, olvidando siempre quienes fueron. Cada marca, cada sacrificio, deja una huella en el mundo y en el alma de quienes portan el simbolo. Pero la Oscuridad no es solo un enemigo externo: es el reflejo de los miedos y errores de los Heraldos, una sombra que crece con cada olvido."
12,1,El Heraldo caido,"Encuentras la tumba de otro Heraldo. Su epitafio dice: 'Luche, pero olvide'. Junto a la lapida, fragmentos de un diario narran batallas contra la Oscuridad y la perdida de recuerdos. Sientes una conexion, como si esas palabras fueran tuyas. Entre las paginas, una advertencia: 'No confies en la luz ni en la sombra, pues ambas son parte de ti'."
13,1,El pacto prohibido,"Los sabios sellaron un poder, pero el precio fue la memoria de su pueblo. El ritual fue realizado bajo la luna llena, y desde entonces, nadie recuerda el verdadero origen de la Oscuridad. Solo los Heraldos, a traves de los fragmentos, pueden reconstruir la historia. Pero cada intento de recordar acerca el final del ciclo, y el precio es cada vez mayor."
14,1,La ciudad sumergida,"Bajo el lago, una ciudad duerme, esperando el regreso de su campeon. Las calles inundadas guardan estatuas de Heraldos y murales que narran la lucha eterna. En el centro, un altar con inscripciones apenas legibles habla de un ciclo que debe romperse. Un eco resuena: 'Solo quien acepte toda la verdad podra despertar la ciudad'."
15,1,El guardian de la puerta,"Un ser de piedra te observa. 'Solo los dignos recordaran', dice. Tras la puerta, ves simbolos y nombres de Heraldos olvidados. El guardian te permite pasar, pero advierte: recordar tiene un precio. Sientes que cada paso te acerca a una revelacion dolorosa."
16,1,El arbol de los nombres,"Cada hoja lleva el nombre de un Heraldo perdido. Al tocar una, sientes recuerdos ajenos: batallas, sacrificios, esperanza y dolor. El arbol susurra historias que se entrelazan con la tuya. Una hoja cae y, al recogerla, ves tu propio nombre escrito."
17,1,El espejo del pasado,"Ves fragmentos de tu vida anterior, pero se desvanecen al tocarlos. El reflejo muestra escenas de gloria y derrota, de alianzas y traiciones. Solo aceptando cada parte podras avanzar. Al fondo, una sombra imita tus movimientos, esperando que la reconozcas."
18,1,La voz del abismo,"'Recuerda quien eres', susurra el abismo, pero el eco se pierde. Voces antiguas te llaman por nombres que no reconoces. Sientes que la verdad esta cerca, pero aun fuera de tu alcance. El abismo te devuelve la mirada, como si esperara tu decision."
46,1,El circulo de los caidos,"En un claro oculto, encuentras un circulo de piedras y armas oxidadas. Cada una representa a un Heraldo que fracaso. Al centro, una llama azul revela imagenes de sacrificios pasados y futuros."
47,1,La biblioteca sumergida,"Entre ruinas inundadas, hallas libros que narran historias de Heraldos olvidados. Al leerlos, fragmentos de tu propia memoria regresan, mezclandose con relatos de otros."
48,1,El mural de la verdad,"Un mural oculto muestra la union entre la Oscuridad y los Heraldos. Descubres que la lucha no es solo contra un enemigo externo, sino contra el olvido y el miedo a aceptar la verdad."
49,1,El eco de la traicion,"Recuerdas una traicion antigua, un Heraldo que eligio olvidar para salvarse. Su historia se repite en cada ciclo, y solo enfrentandola podras romper el destino."
19,0,Un cuervo te observa,"Sus ojos parecen saber mas de ti que tu mismo."
20,0,Un anillo oxidado,"Encuentras un anillo con inscripciones que no puedes leer."
21,0,Un mapa incompleto,"El mapa muestra caminos que cambian cada vez que lo miras."
22,0,Un farol encendido,"Alguien ha pasado por aqui recientemente."
23,0,Unas huellas en el barro,"Las huellas desaparecen antes de que puedas seguirlas."
24,0,Un libro sin palabras,"Las paginas estan en blanco, pero sientes que cuentan tu historia."
25,0,Unos ojos en la niebla,"No sabes si son amigos o enemigos."
26,0,Un colgante roto,"Sientes nostalgia al tocarlo, pero no sabes por que."
27,0,Unas campanas lejanas,"El sonido te resulta familiar, pero no sabes de donde."
28,0,Un mural de guerra,"Los Heraldos luchan juntos, pero uno cae en la sombra."
29,0,Unas cadenas rotas,"Alguien o algo fue liberado aqui."
30,0,Unas palabras en la pared,"'No olvides', dice la inscripcion."
31,1,El rio de la memoria,"Beber de sus aguas trae recuerdos, pero tambien dolor. Imagenes de vidas pasadas cruzan tu mente: victorias, derrotas, promesas rotas. Comprendes que cada Heraldo ha dejado algo atras para que otros puedan continuar."
32,1,El altar de la luna,"La luz revela cicatrices antiguas en tu piel. Recuerdas juramentos hechos bajo la luna y la sensacion de haber fallado antes. El altar brilla, invitandote a recordar y a no rendirte."
33,1,El guardian dormido,"Un gigante de piedra se despierta brevemente al verte. Sus palabras son un enigma: 'Solo quien acepta su historia puede cambiar el destino'. Luego vuelve a dormir, dejando tras de si un silencio lleno de significado."
34,1,La puerta sellada,"Solo la verdad puede abrirla, pero cual es la verdad? Las inscripciones hablan de ciclos, de sacrificios y de la necesidad de aceptar la Oscuridad para romper el sello."
35,1,El circulo de fuego,"En el centro, ves tu reflejo luchando contra la Oscuridad. Cada llama muestra una memoria distinta: miedo, valor, perdida y esperanza. Solo enfrentando cada una podras avanzar."
36,1,El ultimo mensaje,"'Si lees esto, aun hay esperanza', dice una nota en el suelo. Junto a ella, un simbolo antiguo y una llave. Sientes que el final esta cerca, pero depende de ti descubrirlo."
37,1,El arbol caido,"Sus raices envuelven un antiguo relicario. Dentro, encuentras nombres y recuerdos de Heraldos olvidados. Comprendes que no estas solo en esta lucha."
38,1,El eco del futuro,"Ves una vision de ti mismo, triunfante o derrotado. El futuro no esta escrito, pero cada decision acerca o aleja el final del ciclo."
39,1,El heraldo sin rostro,"Una estatua sin rostro lleva tu armadura. Al tocarla, sientes el peso de las historias no contadas y la responsabilidad de recordar."
40,1,El final olvidado,"La historia termina, pero sientes que algo falta. El ciclo continua hasta que alguien recuerde y acepte toda la verdad."
41,2,El final revelado,"Cuando la Oscuridad cae y el ultimo eco de la batalla se apaga, todos los fragmentos y recuerdos se unen en tu mente. Comprendes, al fin, que la Oscuridad no era un enemigo externo, sino la suma de los miedos, traiciones y sacrificios de todos los Heraldos. Cada ciclo, cada olvido, fue una defensa para no enfrentar la verdad: tu eres la Oscuridad y la Luz, el Heraldo y el Olvidado. El ciclo solo termina cuando aceptas cada parte de ti, y solo entonces el mundo puede renacer libre del eterno retorno."
